recipe_id,step,description
20,3,"Add the paneer, turmeric, chilli powder, black salt, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
20,4,"Add the curds, plain flour, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
20,5,"Switch off the flame, add the coriander and salt and mix well."
20,6,Serve hot with rice or rotis.
21,1,"Heat the oil in a kadhai, add the mustard seeds, fenugreek seeds, cumin seeds, nigella seeds and fennel seeds."
21,2,"When the seeds crackle, add the turmeric powder, chilli powder and switch off the flame."
21,3,Add the curds and mix well.
21,4,Add the green chilli pickle and salt and mix well.
21,5,"Add the paneer cubes, mix gently and keep aside to marinate for 30 minutes."
22,1,"Combine the broken wheat, green moong dal, masoor dal, urad dal and fenugreek seeds in a deep bowl and soak in enough water for 2 hours. Drain well."
22,2,Blend them in a mixer along with approx. ¾ cup of water to a coarse mixture.
22,3,"Transfer the mixture into a deep bowl, add the onions, asafoetida, ginger-green chilli paste, coriander, turmeric powder, curry leaves and salt and mix well."
22,4,"Heat a non-stick tava (griddle), sprinkle a little water on it and wipe it off gently using a muslin cloth."
22,5,Pour a ladleful of the batter on it and spread it in a circular motion to make a 125 mm. (5”) diameter thin circle.
22,6,Smear 1/8 tsp of oil over it and along the edges and cook on a medium flame till the adai turns golden brown in colour from both the sides.
22,7,Fold over to make a semi-circle.
22,8,Repeat steps 4 to 7 to make 23 more adais. .
22,9,Serve immediately.
23,1,"Combine the rice, dals, ginger, red chillies, peppercorns and cumin seeds in enough water in a  deep bowl and keep aside to soak for 2 hours. Drain the water."
23,2,Blend the mixture in a mixer to a coarse mixture using approx. 1 cup of water.
23,3,"Transfer the mixture into a deep bowl, add the onions, asafoetida, curry leaves, grated coconut and salt and mix well."
23,4,"Heat a non-stick tava (griddle), sprinkle a little water on the tava (griddle) and wipe it off gently using a muslin cloth."
23,5,Pour a ladleful of the batter on it and spread it in a circular motion to make a 175 mm. (7”) diameter thin circle.
23,6,Smear a little coconut oil over it and along the edges and cook on a medium flame till the adai dosa turns golden brown in colour and crisp.
23,7,Turn over and cook on the other side as well.
23,8,Fold over to make a semi-circle.
23,9,Repeat with the remaining batter to make 9 more adai dosa.
23,10,Serve immediately with coconut chutney.
24,1,"Clean, wash and soak the rice, dals and dry red chillies in enough water for 2 hours."
24,2,Drain and blend in a mixer to a coarse paste using approx. 1¼ cups of water.
24,3,"Transfer the mixture into a deep bowl, add all the remaining ingredients and mix well."
24,4,"Heat a non-stick tava (griddle), sprinkle a little water on the tava (griddle) and wipe it off gently using a muslin cloth."
24,5,Pour a ladleful of the batter on it and spread it in a circular motion to make a 175 mm. (7”) diameter thin circle.
24,6,Smear ¼ tsp of oil over it and along the edges and cook on a medium flame till the adai turns golden brown in colour and crisp.
24,7,Turnover and cook on another side as well.
24,8,Fold over to make a semi-circle.
24,9,Repeat with the remaining batter to make 14 more adais.
24,10,Serve immediately.
25,1,Combine all the ingredients in a deep bowl and mix well.
25,2,Pour the mixture into a shallow aluminium container and freeze for 5 hours.
25,3,Blend in a mixer till slushy and serve immediately.
26,1,"Boil the ¼ cup of water in a non-stick pan, add the coffee and sugar and mix well."
26,2,Add the brandy and mix well.
26,3,Place a scoop of ice-cream in each coffee mug and pour half the coffee mixture over each mug.
26,4,Serve immediately garnished with the cinnamon powder.
27,1,"Combine the paneer, prepared powder and prepared marinade in a deep bowl and mix gently."
27,2,Keep aside for 2 hours.
27,3,Thread 6 pieces of the marinaded paneer in each satay stick or a skewer.
27,4,"Heat a non-stick tava(griddle), grease it with little oil, place 4 marinated paneer satays on it and cook using a little oil on a medium flame for approx. 10 minutes or till they turn  brown in colour from all the sides."
27,5,Repeat steps 3 and 4 to make 4 more satays.
27,6,Serve immediately.
28,1,"Heat a small broad  non-stick pan, add the carom seeds and dry roast on a medium flame for 1 minute. Keep aside."
28,2,"Boil the milk in a saucepan, add the turmeric powder, mix well and cook on a medium flame for 2 minutes, while stirring continuously."
28,3,"Remove from the flame, add the roasted carom seeds to the turmeric milk and mix well."
28,4,Serve immediately.
29,1,Heat the ghee in a deep pan and add the cumin seeds and peppercorns.
29,2,"When the seeds crackle, add the green chillies and sauté for 2 minutes."
29,3,Add the ajwain leaves and sauté for 2-3 minutes or till the leaves turn soft and change their colour.
29,4,Remove from the flame and keep aside to cool.
29,5,"Add the coconut and blend in a mixer till smooth, using a little water if required."
29,6,"Transfer back in the same pan, add the whisked curds and salt and mix well."
29,7,Serve at room temperature with rice.
30,1,Mix all the ingredients together with a little water to make a thick batter.
31,1,"Combine water and carom seeds in a sauce pan, mix well and boil on a medium flame for 8 to 10 minutes."
31,2,Switch of the flame and strain it using a strainer in a deep bowl. Keep aside to cool.
31,3,Serve warm or cool and serve.
32,1,Combine all the ingredients in a deep bowl and mix well.
32,2,Add enough water and knead into a soft dough. Cover the dough with a lid and keep aside for 15 minutes.
32,3,Roll out each portion of the dough into a 175 mm. (7”) diameter circle using a little whole wheat flour for rolling.
32,4,"Heat a non-stick tava (griddle) and cook the roti using a little ghee, till golden brown spots appear on both the sides."
32,5,Serve immediately with curds.
33,1,Dissolve the sugar in 4 to 5 tablespoons of water and simmer to get a syrup of 1 string consistency.
33,2,Add the walnuts and cashewnuts and mix well. Heat over a slow flame and stir till it leaves the sides of the pan. 
33,3,"Remove from the fire, transfer to another plate and cool completely. "
33,4,"Divide the mixture in 10 equal portions. Press each portion into 25 mm. (1"") diameter greased tart moulds."
33,5,Unmould the tarts and keep aside.
34,1,"Combine the sugar and ¼ cup water in a broad non-stick pan and cook on a slow flame for approx. 2 to 3 minutes, stirring continuously."
34,2,Remove from the flame and keep aside to cool.
35,1,Combine all the ingredients in a deep bowl and knead into a loose soft dough using enough water.
35,2,Divide the dough into 6 equal portions.
35,3,"Heat a non-stick tava (griddle) and grease it with ¼ tsp of oil, take a portion of the dough place in the centre of the greased tava (griddle) and flatten it with wet fingers to make a 250 mm. (6”) diameter circle."
35,4,Make 3 to 4 holes at regular intervals using a rolling pin as shown in the image.
35,5,Drizzle ½ tsp of oil evenly over it and cook on both the sides till they turn golden brown in colour.
35,6,Repeat steps 3 to 5 to make 5 more akki rotis.
35,7,Serve immediately.
36,1,Combine the chawli and 2 tbsp of water in  a mixer and blend to a coarse paste.
36,2,"Transfer the paste into a deep bowl, add all the remaining ingredients and mix well."
36,3,Divide the mixture into 10 equal portions.
36,4,Wet your hand and take a portion of the mixture in your hand and shape into a 75 mm. (3”) diameter circle. Make a hole in the centre with your thumb.
36,5,Repeat step 4 to shape 4 more vadas.
36,6,"Heat a non-stick tava (griddle) , grease it with ½ tsp of oil. Place 5 vadas on it and cook on a medium flame using ½ tsp of oil till they turn golden brown in colour from both the sides."
36,7,Repeat steps 4 to 6 to shape and cook 5 more vadas.
36,8,Serve immediately.
37,1,"To make the Alfalfa Sprouts Open Sandwich, pierce the yellow capsicum with a fork, brush it using ¼ tsp of olive oil evenly over it and roast it over an open flame till it turns black from all the sides."
37,2,"Cool, wash it in cold water and remove the skin, stem and seeds and discard them. Cut the capsicum into thin slices and keep aside."
37,3,Repeat steps 1 and 2 for red and green capsicum.
37,4,"Combine the roasted green, yellow and red capsicum slices, remaining 1½ tsp of olive oil, salt and a little pepper powder in a bowl and mix  well."
37,5,Divide the capsicum mixture into 4 equal portions and keep aside.
37,6,Cut the footlong bread into 2 pieces from the centre and then cut each piece into 2 halves horizontally. You will get 4 bread halves of 6” each in all.
37,7,"Place all the 4 bread halves on a flat, dry surface and core the inner side of each halve so as to form a slight depression."
37,8,Spread ¼th of the marinade evenly on each bread halve.
37,9,Place a portion of the capsicum mixture in the depression of each bread halve and arrange 3 tomato slices over it.
37,10,Place 1½ tbsp of alfa-alfa sprouts and ½ tbsp of black olives evenly on each bread halve.
37,11,"Sprinkle ¼ tsp of oregano, a little salt and ¼ tsp of pepper powder on each bread halve."
37,12,Top each bread halve with ½ tbsp of cheese and bake them in a pre-heated oven at 200°c (400°f) for 8 to 10 minutes.
37,13,Serve the Alfalfa Sprouts Open Sandwich immediately.
38,1,"Combine the mayonnaise, basil, tomatoes, alfalfa sprouts, salt and pepper in a bowl and mix well."
38,2,Divide the stuffing into 4 equal portions and keep aside.
39,1,Combine all the ingredients in a deep bowl and knead into a soft dough using enough water. Keep aside.
40,1,Combine all the ingredients in a deep bowl and mix well.
40,2,Pour equal quantities of the drink into 3 individual glasses.
40,3,Serve immediately.
41,1,Use a knife and make a petal shaped but on the red capsicum.
41,2,Detach the piece from the capsicum with your fingers.
41,3,"Using a knife, remove the seeds from the capsicum piece and discard them. Repeat the step 1 to 3 to make 2 to 3 more capsicum pieces. Keep them aside."
41,4,"Place a drumstick on the chopping board and using a knife, cut a 6"" long piece."
41,5,Make 2 to 3 such long drumstick pieces of different sizes.
41,6,Insert a toothpick on one side of the drumstick.
41,7,Pierce the capsicum piece on it from the centre.
41,8,"Pierce the baby corn on top. Repeat the steps 6 to 8 with the remaining drumstick pieces, capsicum pieces and baby corn."
41,9,On the other side of the drumstick pierce one more toothpick.
41,10,Place a broad piece of yam with the base flattened with a knife on a chopping board.
41,11,Pierce the toothpick with drumstick on the yam. Arrange 2 to 3 such drmsticks (stems) on the yam.
41,12,"To complete the anthurium, finally decorate it with a few leaves and a fan behind the yam."
42,1,Place the almond bread slices on a greased baking tray and apply a little olive oil on each bread slice.
42,2,"Bake in pre-heated oven at 200°c(400°f) for 15 minutes, or till they turn light brown."
42,3,Cool completely and arrange 3 avocado slices on each toasted bread slice.
42,4,Drizzle ¼ tsp of olive oil and little sea salt evenly over each toast.
42,5,Serve immediately.
43,1,Sieve the flour and salt together in a plate.
43,2,Rub the butter into the flour with your fingertips and add the sugar and almonds and mix well.
43,3,Gradually add ice-cold water (approx. 3 tbsp) and knead well to make stiff dough. Refrigerate for 15 minutes.
43,4,"Meanwhile, combine the apples, lemon juice, sugar and orange marmalade in a bowl, mix well and keep aside."
43,5,Knead the dough again and divide it into 10 equal portions.
43,6,Roll out a portion on a dusted rolling board into a 100 mm. (4”) diameter circle and place the circle into a 75 mm. (3”) diameter tart case. Press the circle gently around the sides of the tart case.
43,7,Repeat step 7 to make 9 more tarts.
43,8,Prick all over the tarts with the help of a fork and sprinkle equal quantity of biscuit crumbs in each tart case.
43,9,Put 1½ tbsp of the apple filling in each tart case and bake in a pre-heated oven at 200ºc (400ºf) for 20 to 25 minutes or till the tart cases are golden brown in colour.
43,10,Serve immediately garnished with a dollop of beaten whipped cream.
44,1,"Combine the almonds, bananas and ½ cup of milk and blend in a juicer till the mixture is smooth and frothy."
44,2,"Add the sugar, remaining 1 cup of milk, vanilla essence and 8 ice-cubes and blend in a juicer till the mixture is smooth and frothy."
44,3,Pour equal quantities of the smoothie into 4 individual glasses.
44,4,Serve immediately.
45,1,"Soak the almonds in enough hot water, cover with  a lid and keep aside for 1 hour. Drain and peel them."
45,2,Blend in a mixer along with the sea salt and blend well. Keep aside.
45,3,"Combine the coconut oil, honey, vanilla essence, 1 tbsp of water in a deep bowl and mix well using a spatula."
45,4,Add all the other ingredients including the almond mixture and mix very well using a spatula.
45,5,"Grease a 175 mm. ( 7”) diameter aluminium tin with coconut oil, put the mixture into it and even it out using a spatula. Bake in a pre-heated oven at 200ºc (400ºf) for 20 minutes."
45,6,Serve hot.
46,1,Peel the almonds.
46,2,Blend the almonds in a mixer to a smooth mixture without using any water.
46,3,"Transfer the mixture into a deep bowl, add the ghee and salt and mix well to make a dough without using any water."
46,4,Divide the dough into 6 equal portions.
46,5,"Grease the rolling board with ghee, put a portion of the dough and pat it to make a 100 mm. (4”) dimeter circle without using any flour."
46,6,Heat a non-stick tava (griddle) and cook the bhakri using ghee till it turns golden brown in colour from both the sides.
46,7,Repeat steps 5 and 6 to make 5 more bhakris.
46,8,Serve hot.
47,1,"Heat the ghee in deep non-stick pan, add the almonds and sauté on a medium flame for 2 minutes. Drain and keep aside."
47,2,"Add the cloves, cardamom, cinnamon and bayleaf in the same non-stick pan and sauté on a medium flame for a few seconds."
47,3,Add the caraway seeds and onions and sauté on a medium flame for 1 minute.
47,4,Add the garlic and sauté on a medium flame for a few more seconds.
47,5,"Add the french beans, green peas, green chillies and biryani masala, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
47,6,"Add the almonds and rice, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
47,7,Add the lemon juice and mix gently.
47,8,Serve immediately garnished with fried onions and fried almonds.
48,1,"Combine the plain flour, baking powder, cocoa powder, cinnamon powder, castor sugar and almonds in a deep bowl and mix well."
48,2,"Add the eggs and vanilla essence, mix well and knead into a soft and sticky dough without using any water."
48,3,"Grease your palms with little oil, place the dough on a greased baking tray and spread it with your fingers to form a 200 mm. × 75 mm. (8” x 3”) rectangle."
48,4,Bake it in a pre-heated oven at 160°c (320°f) for 25 minutes. Keep aside to cool completely.
48,5,"Once cooled, cut diagonally into 15 thin pieces."
48,6,"Arrange them on a baking tray and bake in a pre-heated oven at 160°c (320°f) for 30 minutes or till they are crisp, turning them once after 15 minutes."
48,7,Serve or store it in an air-tight container.
49,1,"Combine the plain flour, baking powder, vanilla essence and powdered sugar in a deep bowl and mix well."
49,2,Add the butter and rub into the flour mixture till it resembles bread crumbs.
49,3,Add the milk and almonds and knead  into a dough.
49,4,Cover with a lid and refrigerate for 30 minutes.
49,5,Roll into a rectangle of 200 mm. (8”) × 150 mm. (6”)  without using any flour for rolling.
49,6,Cut into 14 equal pieces as shown in the image.
49,7,Place them on a baking tray and bake in a pre-heated oven at 180°c (360°f) for 15 to 17 minutes. Remove and cool on a wire rack.
49,8,Serve immediately or store in an air-tight container.
50,1,Combine the plain flour and almond slivers in a deep bowl and mix well. Keep aside.
50,2,"Cream the butter, powdered sugar and vanilla essence in a deep bowl and mix well using a spatula."
50,3,Add the plain flour-almonds mixture and mix well using a spatula.
50,4,Add the milk gradually and knead gently into a semi-stiff dough without using any water.
50,5,Cover the dough with a lid and keep aside to refrigerate for 15 minutes.
50,6,"Roll the dough into a 200 mm. X 200 mm. (8"" x 8"") rectangle."
50,7,Cut the rolled dough into 50 mm. X 50 mm. (2” x 2”) equal square pieces.
50,8,Arrange the square pieces on a baking tray at equal intervals and bake in a pre-heated oven at 180°c (360°f) for 25 minutes.
50,9,Allow it to cool completely.
50,10,Store it in an air-tight container and use as required.
51,1,Put the almonds in a mixer and blend till smooth.
51,2,"Combine the almond milk, flax seeds powder and apple cider vinegar in a bowl and mix well. Keep aside."
51,3,"Combine the almond flour, salt, baking powder in a deep bowl and mix well."
51,4,Add the almond milk mixture and 2 tbsp of water and mix very well using a spatula.
51,5,Pour the mixture into a greased 200 mm. (8”) × 100 mm. (4”) rectangle aluminium loaf tin and bake in a pre-heated oven at 200ºc (400ºf) for 35 minutes.
51,6,"Cool slightly, demould and cut into 11 equal slices."
51,7,Serve immediately or store in an air-tight container and use as required.
52,1,Roast the almonds in a deep non-stick pan on a medium flame for 3 minutes. Cool slightly.
52,2,"Combine the almonds, coconut, oats, cinnamon powder and salt in a deep bowl  and mix well."
52,3,"Add the vanilla essence, honey and peanut butter and mix well."
52,4,"Line a 175 mm. (7”) aluminium tin with foil, put the mixture over it and even it out using your palm."
52,5,Refrigerate it for 30 minutes.
52,6,"Demould it, cut it into 10 equal square shaped bars."
52,7,Serve or store it in an air-tight container and use as required.
53,1,Combine all the ingredients in a bowl and fold gently.
53,2,Fill into a piping bag fitted with a star nozzle and keep refrigerated.
54,1,Break the eggs in a deep bowl and beat it using a fork. Keep aside.
54,2,Blend the almonds in a mixer till smooth.
54,3,"Transfer the almond mixture into a deep bowl, add all the remaining ingredients along with the beaten eggs and mix well using a spatula."
54,4,Grease a 175 mm. By 82. 5 mm. (7“×3. 5 “) loaf tin with melted butter.
54,5,Pour the mixture into the greased loaf tin and bake in a pre-heated oven at 150 ºc (300ºf) for 35 to 40 minutes.
54,6,"Cool, cut into 13 equal slices, pack in an aluminium foil and store in an air-tight container in the refrigerator."
54,7,Use as required.
55,1,"Combine the almonds, cinnamon, honey, vanilla essence and ¾ cup of cold water in a mixer and blend till smooth."
55,2,"We have used whole cinnamon stick instead of cinnamon powder, as it gives a correct taste and consistency to the milk."
55,3,We recommend a high quality a bullet blender or a vitamix. If the quality of the blender is not good it will not be smooth and there will be small almond pieces left. We have also not strained the milk.
55,4,Refrigerate till use and serve chilled. It lasts good in the fridge for 3 days we have tested it.
56,1,"Combine the strawberries, pineapple, lychees and orange segments in a bowl and refrigerate to chill."
56,2,Combine the china grass with 1 cup of cold water in a pan and simmer till it dissolves completely. Strain the mixture and keep aside.
56,3,Combine the milk and sugar in a pan and bring to boil.
56,4,"Add the china grass mixture and boil for another 3 to 4 minutes, while stirring continuously. Keep aside to cool slightly."
56,5,"Add the cream, vanilla essence, almond essence and almonds and mix well."
56,6,Pour equal quantities into 4 individual moulds and refrigerate for 30 minutes or till it sets.
56,7,"Just before serving, divide the fruits into 4 equal portions and keep aside."
56,8,Un-mould the jelly onto 4 individual plates and top it with a portion of the fruits. Serve chilled.
57,1,Combine the almonds and cold water in a mixer and blend till smooth. We recommend a high quality a bullet blender or a vitamix. If the quality of the blender is not good it will not be smooth and there will be small almond pieces left.
57,2,"We suggest you get a high quality blender that can also be used for making lovely smoothies and juices. Ingredients like carrot, almonds, etc can also be easily blended in it…"
57,3,Serve chilled.
58,1,"Soak the almonds in hot water for 2 hours. Drain, remove the skin and blend in a mixer to a fine paste. Keep aside."
58,2,"Boil the milk in a heavy-bottomed vessel till it is reduced to ¾ of its quantity, while stirring continuously."
58,3,"Add the almond paste, sugar, cardamom powder, nutmeg powder and saffron, mix well and simmer for 5 minutes, while stirring continuously. Keep aside."
58,4,"When it cools completely, refrigerate at least for 2 hours."
58,5,Serve chilled.
59,1,"In a heavy bottomed pan, add the sugar and melt it over gentle heat, stirring continuously till the sugar is light brown in colour (caramelised)."
59,2,"Remove from the fire, add the rest of the ingredients and mix well."
59,3,Pour this mixture onto a greased marble or stone surface.
59,4,"Using a large greased rolling pin, roll out the praline as thinly as you can."
59,5,"While it is still warm, cut into triangles. Allow it to cool completely."
