recipe_id,ingredient_id,quantity,unit
66,111,1 1/2,cups
66,50, , 
66,125,2, 
66,257,1,recipe
67,619, 1/4,cup
67,7, 1/2,cup
67,621, 1/3,cup
67,73,1,tsp
67,162, 1/2,tsp
68,115, 1/4,cup
68,50, 1/2,cup
68,195, 1/3,cup
68,98,1,tsp
68,321, 1/2,tsp
69,110,2,tsp
69,95,1, 
69,32,2,tsp
69,632,2,tsp
69,633, 1/2,cup
69,279, 1/2,cup
69,635, 1/2,cup
69,636, 1/2,cup
69,637, 1/2,cup
69,638, 1/2,cup
69,639, 1/2,cup
69,321, 1/2,cup
69,262, 1/4,cup
69,195,1,cup
69,17, , 
69,42,2,tsp
69,190, 1/4,cup
69,646,3,cups
70,647,1,cup
70,347, 1/4,cup
70,358,1,tbsp
70,41,1,tsp
70,45,1,tsp
70,115,1,tsp
70,17, , 
70,332,1,tbsp
71,655,1,cup
71,656,1,cup
71,35, 3/4,cup
71,133,2,tbsp
71,17, , 
71,139,1,tbsp
71,115,1,tsp
71,662,1,tsp
71,88,2,tsp
71,47,1,tbsp
72,137, 1/4,cup
72,115, 1/4,cup
72,45, 1/2,tbsp
72,102, , 
72,105,1 1/2,cups
72,670,1 1/2,cups
72,290,2,tbsp
72,39,1,tsp
72,41,2,tsp
72,166,2,tbsp
72,50,2,tbsp
72,113, , 
72,96, 1/2,cup
72,678, 1/2,cup
72,127,1,tsp
72,312,6,tsp
72,115, , 
72,154, , 
72,173, , 
73,188,2 1/4,cups
73,685,2 1/4,cups
73,73,1 1/2,tbsp
73,164,1, 
73,51,1, 
73,97,1, 
73,97,1, 
73,97, 1/2,tsp
73,27, 1/4,tsp
73,73, 1/4,tsp
73,54,1,tbsp
73,234, , 
73,431, 1/2,tsp
73,147,1,tsp
73,112, 1/4,tsp
73,244, 1/4,cup
73,45, 1/2,tsp
73,244, 1/4,tsp
73,95, , 
74,216,2, 
74,29,2, 
74,705,4,tbsp
74,95,4,tbsp
74,707, 1/2,cup
74,28,1,cup
74,97, 1/4,tsp
74,97, 1/2,tsp
74,99, 1/4,tsp
74,32, , 
74,713, 1/2,cup
74,78, 1/2,cup
75,112,2,cups
75,32,2,cups
75,187,4,tbsp
75,188,6,tbsp
75,257,4,tbsp
75,29,1,cup
75,273, , 
75,97, , 
75,240, , 
75,112, , 
75,267,1,tbsp
76,66,2, 
76,130,2, 
76,105,4,tbsp
76,267, 1/2,cup
76,26,1,cup
76,190, 1/4,tsp
76,251, 1/2,tsp
76,69, 1/4,tsp
76,251,4,tbsp
76,17, , 
76,22, 1/2,cup
76,165, 1/2,cup
77,154, 1/2,cup
77,76,1,cup
77,740,2 1/2,tbsp
77,26, 1/2,tbsp
77,245, , 
77,26, , 
78,171, 3/4,cup
78,26,2,cups
78,26,3,tbsp
78,40, 1/2,cup
78,53, 1/2,cup
78,237, 1/2,tsp
78,71, 1/2,tsp
78,34,1,tsp
78,480, 1/2,tsp
78,343, 1/2,tsp
78,33, 1/4,tsp
78,340, 1/4,tsp
78,68, 1/2,tsp
78,17, , 
78,71,1,tbsp
78,47,1,tbsp
78,36,1,tsp
79,62, 3/4,cup
79,27,1 3/4,cups
79,29,2,tbsp
79,97,2,tsp
79,310, 1/4,tsp
79,224, 1/2,tsp
79,32, 1/2,tsp
79,17, , 
79,176, , 
79,228, 1/2,tsp
79,29,1,tsp
80,46,3,cups
80,316,1 1/2,tbsp
80,99, , 
80,191, 1/2,cup
80,294,1,cup
80,93, 1/4,cup
80,52, 1/2,tsp
80,101,1,tbsp
80,41,2,tsp
80,130,2,tbsp
80,284,2,tbsp
80,32, 1/2,tsp
80,177, 1/4,cup
80,26,2,tbsp
80,529,1, 
80,53,2, 
80,9,3, 
80,789,2, 
80,177,1, 
80,8, 1/4,tsp
80,78,1,tsp
80,12,1 1/2,tsp
80,171, 1/2,tsp
80,17, , 
80,102,1 1/4,cups
80,36,2,tbsp
80,265,2,tbsp
81,799,16, 
81,800,1, 
81,172,1, 
81,171,1 1/2,tsp
81,45,1,tsp
81,326,1,tbsp
81,17, , 
82,271,3,cups
82,73,2,tbsp
82,73,1,tbsp
82,53, 1/4,cup
82,42,2,tbsp
82,52,2,tsp
82,45,2,tsp
82,139,1,tbsp
82,17, , 
82,471,1,tbsp
83,1,1 1/4,cups
83,97,3,tbsp
83,153,1,tsp
83,240,2,tbsp
83,84, 1/4,tsp
83,68,2,tsp
83,27,2,tsp
83,216, , 
83,36,2,tbsp
83,276, 1/2,cup
83,826,2,tsp
83,265,4,tsp
83,828,2,tbsp
83,268,2, 
83,15,2, 
83,215,4,tbsp
83,832,4,tsp
83,215,4,tbsp
83,71,2,tbsp
84,345,5, 
84,345,2,tsp
84,340,1,cup
84,629,2,tbsp
84,47,1,tbsp
84,74, 1/2,tsp
84,320, 1/8,tsp
84,53, 1/2,tsp
84,471, , 
84,102,5,tbsp
84,54,10,tsp
84,288,5,tsp
84,379, 1/2,tsp
84,47,2 1/2,tsp
85,849,3,cups
85,45, , 
85,137, 1/2,tsp
85,403, 1/2,cup
85,119, , 
85,6, , 
85,138, 1/2,cup
85,856, 1/2,cup
85,188,2,tbsp
85,84, , 
86,26, 3/4,cup
86,46, 1/2,tbsp
86,340, , 
86,374, , 
86,326, , 
86,42,1 1/2,cups
86,296, 1/2,cup
86,246,3,tbsp
86,326,2,tsp
86,46, 1/2,tsp
86,336,1,tsp
86,370, , 
86,26, , 
86,105,2,tbsp
86,5, 1/2,tsp
86,442,1,tsp
86,370, 1/4,tsp
86,237, , 
86,42, 1/2,cup
86,294, 1/2,tsp
86,105, 1/2,tsp
86,17, , 
87,301,1 3/4,cups
87,299,1 1/2,tbsp
87,334,1,tsp
87,15, 3/4,tsp
87,802,1,tsp
87,188, 1/2,tsp
87,45,1,tbsp
87,154, , 
87,265, 1/2,cup
87,454, 3/4,tsp
87,216, 1/2,tsp
87,6, , 
87,105,3,tbsp
87,104, 1/2,tsp
87,722,1,tsp
87,379, 1/4,tsp
87,236, , 
87,49,4, 
87,100,4,tsp
88,249,2,cups
88,16,2,tbsp
88,255, 1/4,tsp
88,903,1,tsp
88,485, 1/2,tsp
88,340,1,tsp
88,46,1,tsp
88,300, 1/4,tsp
88,46, 1/2,tsp
88,68, 1/2,tsp
88,19, , 
88,73,2,tbsp
89,35, 3/4,cup
89,2,1,cup
89,77, 3/4,cup
89,42,2,tsp
89,39, 1/2,tsp
89,1,25,mm
89,83,3, 
89,712,1, 
89,257, 1/4,tsp
89,237, 1/2,tsp
89,256, , 
89,47,1,tbsp
90,249, 3/4,cup
90,217,1,cup
90,72,1 1/2,cups
90,73,2,tbsp
90,239,25,mm
90,9,5 to 6, 
90,257,2, 
90,164, 1/2,tsp
90,121,1,tsp
90,614, , 
90,425,2,tbsp
91,72,1 1/2,cups
91,249,1,cup
91,104,1,cup
91,143,2, 
91,114,5 to 6, 
91,185,25,mm
91,75,2,tsp
91,92, 1/4,tsp
91,164,1,tsp
91,313,1,tsp
91,36,2,tbsp
91,17, , 
91,47, , 
92,316,1,cup
92,156, 1/2,cup
92,169,2,tbsp
92,492, 1/2,tsp
92,396,2,tsp
92,388,1,tsp
92,103, 1/2,tsp
92,186,2,tsp
92,368, , 
92,74,1,cup
92,433,1,tsp
92,144, , 
92,26,2 to 3, 
92,115, , 
92,220, , 
92,42, , 
92,964, , 
93,568,1 1/2,cups
93,207,1,cup
93,967,1,cup
93,26,1,tbsp
93,174,1,tsp
93,12, 1/4,tsp
93,240,1 1/2,tsp
93,73,1 1/2,tsp
93,95, , 
93,102, , 
94,35,1,cup
94,171,1 1/2,cups
94,26,1 1/2,tbsp
94,309,1,tsp
94,12, 1/4,tsp
94,28,2, 
94,189,1,tsp
94,58,1,tsp
94,41,1,tsp
94,177, , 
94,8, 1/4,tsp
94,53,1,tsp
94,209, 1/2,tsp
94,447, 1/2,tsp
94,989, , 
94,457, , 
95,664, 1/4,tsp
95,297,1 1/2,tsp
95,45,1,tbsp
95,451,2, 
95,45,2,tbsp
95,47,2,tbsp
95,447,1,tbsp
95,104, , 
95,265, 1/2,tsp
95,99,1,tsp
95,33,2, 
95,100,2, 
95,95,2,tbsp
95,237, 1/2,cup
95,2,1,tbsp
95,161,1,tsp
95,73, 1/2,tsp
95,42, 1/2,tsp
95,798, , 
95,204,2,cups
95,370, 1/2,cup
95,106, 1/2,cup
95,26,1,tbsp
95,48, , 
96,171,2, 
96,13, , 
96,13, 1/2,cup
96,29, 1/2,tsp
96,33, 1/4,tsp
96,41,1,tsp
96,260,2,tbsp
96,36,2,tbsp
96,122, 1/2,tsp
96,513, 1/2,tbsp
96,17, , 
96,8, , 
97,94,1,cup
97,479,1,cup
97,40, 1/4,cup
97,237, 1/4,cup
97,260,2,tbsp
97,187,1,tsp
97,15, 1/2,tsp
97,260,1,tsp
97,556, 1/2,tsp
97,74, 1/2,tsp
97,250, 1/2,tsp
97,433, , 
98,156,2,cups
98,225,3,tbsp
98,225, 1/2,tsp
98,433, 1/2,tsp
98,13, 1/4,tsp
98,125, 1/4,tsp
98,14,3, 
98,219,2,tsp
98,41, 1/2,cup
98,381, 1/4,tsp
98,17, , 
98,188, 1/2,tsp
98,219,2,tsp
99,1052, 1/2,cup
99,32,1 1/4,cups
99,17,1,cup
99,749,1,tsp
99,34,1,tsp
99,301, 1/2,tsp
99,198, 1/4,tsp
99,200, 1/4,tsp
99,73,1,tbsp
99,177,2,tbsp
99,17, , 
99,33, , 
100,271,2,cups
100,26,1,tbsp
100,39,1,tsp
100,240,3 to 4, 
100,387, 1/4,tsp
100,15,1,tsp
100,215,1 1/2,tsp
100,466,1,tbsp
100,84,2,tsp
100,279, , 
100,237,2,tbsp
101,43,2 1/4,cups
101,46,1,tbsp
101,47,2,tbsp
101,68,1 1/2,tsp
101,114, , 
101,76,2,cups
101,84,2,tsp
101,22,1,tsp
101,535,2,tbsp
101,15, , 
101,35,1,tsp
101,50, , 
101,232,3,tsp
101,500,6,tsp
101,315, , 
102,127,1,cup
102,35, 1/2,cup
102,41, 1/2,tbsp
102,268, 1/2,tsp
102,161, 1/2,tsp
102,53, , 
102,212, 1/3,cup
102,95, 1/3,cup
102,26, , 
102,166, , 
103,33,2,cups
103,41, , 
103,267,2,tbsp
103,326,1,tsp
103,40, 1/2,cup
103,1105,2,tbsp
103,249, 1/4,tsp
103,46,1,tsp
103,567,1,tsp
103,200, 1/4,cup
103,108, 1/2,cup
103,31, , 
103,543,4,tbsp
103,313,1,tsp
103,92,1,tsp
103,46,1,tbsp
104,271,2,cups
104,45,1,tsp
104,36,1,tsp
104,111,1,tbsp
104,266, 1/2,tsp
104,41,1,tsp
104,294, 1/2,cup
104,61, 1/4,tsp
104,900,1,tbsp
104,34, , 
104,161,1 1/2,tsp
104,675,1,tbsp
105,144,1 1/2,cups
105,183,4,cups
105,130, , 
105,5,4,tbsp
105,465,1,tsp
105,435, 1/4,tsp
105,58,1,tsp
105,52,1,tsp
105,378,1,tsp
105,14,2, 
105,8, 1/2,tsp
105,214,2,tsp
106,34,1,cup
106,26,1,tsp
106,267, , 
106,1143,1 1/4,cups
106,851,1,cup
106,147,2,tbsp
106,236, 1/2,tsp
106,578,2,tsp
106,8, 1/2,tsp
106,242,1,tsp
106,242,1,tsp
106,326, , 
106,270, , 
106,214, , 
106,695, , 
106,311, , 
107,110,1,cup
107,164, 1/2,cup
107,26,2,tsp
107,274,1,tsp
107,52, 1/2,tsp
107,33,2,tsp
107,40, 1/4,cup
107,278,1,tbsp
107,613, , 
107,46, 1/2,tsp
107,29,2,tsp
107,8, 1/2,tsp
107,15, 1/4,cup
107,76, 1/2,cup
107,295, 1/2,cup
107,2, , 
107,128, , 
108,1173,1, 
108,34, 1/2,cup
108,187, 3/4,cup
108,509, 3/4,cup
108,87, 1/2,tsp
108,71,2,tsp
108,1179,1,tsp
108,90, , 
108,216, , 
108,204, , 
109,282,1 1/4,cups
109,44,1,cup
109,274,1,tbsp
109,144,2, 
109,173,2, 
109,42,1, 
109,61, 1/4,cup
109,35,2,tbsp
109,97,1,tsp
109,17, , 
109,40,1,cup
109,122,2,tbsp
109,142,1,tsp
109,41,2,tsp
110,114,1,cup
110,51, 3/4,cup
110,28,1,tbsp
110,182, 1/2,tsp
110,33, 1/2,cup
110,493, 1/2,tsp
110,147, 1/2,tsp
110,1196,1,cup
110,188, 1/2,tsp
110,15,1,tsp
110,36, 1/2,tsp
110,557, 1/2,tsp
110,17, , 
110,42,1,tbsp
111,436,2,cups
111,380,2,cups
111,495,2,cups
111,40, 1/2,cup
111,862, 1/2,tsp
111,195,2,tbsp
111,366,2,tbsp
111,26,2,tbsp
111,17, , 
111,26, , 
111,343,2,tbsp
111,73,1, 
111,95,6, 
111,113,4, 
112,202, 1/2,cup
112,106, 1/4,cup
112,105,2,tbsp
112,41,1,tbsp
112,271,1 1/2,cups
112,202,1 1/2,cups
112,338,2,tsp
112,36,2, 
112,50,1, 
112,63,2,tsp
112,1235, 1/2,cup
112,628, 1/4,tsp
112,316, 1/4,tsp
112,46, 1/4,tsp
112,22, 1/2,tsp
112,83,2,tbsp
112,84, , 
112,45,2,tbsp
113,9,1 1/2,cups
113,74,1,cup
113,1029, 1/2,tsp
113,130, 3/4,cup
113,84,1,tsp
113,433,1,tsp
113,111, 1/2,tsp
113,216,1,cup
113,102, , 
113,370, 1/2,tsp
113,46, 1/2,tsp
113,12,2,tbsp
113,17, , 
113,914,1,tbsp
114,26,2,tbsp
114,39, 1/2,cup
114,752, 3/4,cup
114,35,2,tsp
114,63, 1/2,tsp
114,251,1,cup
114,525, , 
114,188, 1/2,tsp
114,46, 1/2,tsp
114,44,1,cup
114,298,1 1/2,cups
114,493, , 
114,45,1,tbsp
115,510,1 1/2,cups
115,236,1,cup
115,74,2,tbsp
115,277,1,tsp
115,98, 1/2,cup
115,112,1,tsp
115,39,1,tbsp
115,524,1 1/2,tsp
115,35, 3/4,cup
115,8, 1/2,tsp
115,130,1 1/2,tsp
115,66,1 1/2,tsp
115,370,1,tsp
115,17, , 
115,75,2,tbsp
116,253,1 1/2,cups
116,370,1,cup
116,193,2,tbsp
116,267,1,tsp
116,110, , 
116,75, 1/4,tsp
116,29, 1/2,tsp
116,163,1,tbsp
116,469,1,tbsp
116,374, , 
116,35, , 
116,26, , 
116,312,1,tsp
117,1298,1 1/2,cups
117,1299,4,cups
117,16,3,tbsp
117,651,1,tsp
117,142, 1/4,tsp
117,565,1,tsp
117,73,1,tsp
117,97,1,tsp
117,95,2, 
117,34,2,tsp
117,137, 1/2,tsp
117,334, , 
118,354,4,cups
118,1311,1 1/2,cups
118,39,1,tsp
118,58,1,tsp
118,35,1,tsp
118,33,2, 
118,237,2,tsp
118,8, 1/2,tsp
118,239, 1/4,tsp
118,105,3,tbsp
118,655, , 
